prog_id,cache_references,cache_misses,miss_rate,wall_time_s,status
437,5213540,51651,0.009907,0.1926,ok
438,140263262,1696470,0.012095,3.2376,ok
439,138640926,1515805,0.010933,2.7636,ok
440,11341,5312,0.468389,0.075,ok
441,90139,5770,0.064012,0.1278,ok
442,13288282,260256,0.019585,0.3869,ok
443,3241863,95951,0.029597,0.121,ok
444,527909,11672,0.02211,0.0959,ok
445,54520334,640425,0.011747,2.0096,ok
446,10643082,20554,0.001931,0.4539,ok
447,5089888,38754,0.007614,0.2006,ok
448,18125,7643,0.421683,0.0737,ok
449,19830,7457,0.376046,0.1266,ok
450,485154,8860,0.018262,0.1366,ok
451,23518,5654,0.240412,0.0664,ok
452,148505796,1162769,0.00783,2.9059,ok
453,5800823,78012,0.013448,0.2496,ok
454,146810809,1297954,0.008841,3.1455,ok
455,9881,4564,0.461897,0.0368,ok
456,330247785,3627303,0.010984,6.9264,ok
457,956120,7980,0.008346,0.2107,ok
458,10691834,17983,0.001682,0.317,ok
459,15455,5264,0.340602,0.0499,ok
460,332357007,3709481,0.011161,7.1722,ok
461,5011044,33977,0.00678,0.226,ok
462,30206,6376,0.211084,0.0608,ok
463,3297128,45157,0.013696,0.0916,ok
464,1087026,6260,0.005759,0.1061,ok
465,52642906,450346,0.008555,1.6348,ok
466,12230,4596,0.375797,0.0486,ok
467,120938,4531,0.037465,0.0444,ok
468,10681,4240,0.396967,0.0254,ok
469,10614678,13138,0.001238,0.451,ok
470,55386,4919,0.088813,0.0557,ok
471,1484680202,11193290,0.007539,29.1435,ok
472,149160674,921939,0.006181,2.9469,ok
473,3235318,91182,0.028183,0.1769,ok
474,11441,4844,0.42339,0.0495,ok
475,14339305,133553,0.009314,0.3892,ok
476,10194,4625,0.453698,0.0548,ok
477,11406,5214,0.457128,0.056,ok
478,15425,4386,0.284344,0.0481,ok
479,3260461,74928,0.022981,0.1526,ok
480,330470617,4499112,0.013614,7.4545,ok
481,115696,4758,0.041125,0.0345,ok
482,1466641865,11716857,0.007989,29.2984,ok
483,10625158,36150,0.003402,0.4688,ok
484,10185,4768,0.468139,0.0362,ok
485,24692,7133,0.288879,0.1149,ok
486,,,,,timeout
487,5132345,37819,0.007369,0.1967,ok
488,510916,9045,0.017703,0.0804,ok
489,55140567,585023,0.01061,1.8419,ok
490,5817041,75324,0.012949,0.2543,ok
491,563808,8847,0.015692,0.1385,ok
492,5366615,98798,0.01841,0.2798,ok
493,17651,6858,0.388533,0.1307,ok
494,57394522,489812,0.008534,1.6076,ok
495,1096331,8283,0.007555,0.1147,ok
496,116179,5206,0.04481,0.0569,ok
497,1064236,6844,0.006431,0.1014,ok
498,10608171,21552,0.002032,0.478,ok
499,115221,5151,0.044705,0.0271,ok
500,329336819,5858292,0.017788,6.8012,ok
501,47309,4900,0.103574,0.0509,ok
502,45799,6092,0.133016,0.0603,ok
503,3331589,24634,0.007394,0.107,ok
504,10771816,36808,0.003417,0.526,ok
505,10188,4641,0.455536,0.0509,ok
506,10702713,46893,0.004381,0.5133,ok
507,1460569543,11917515,0.008159,29.0657,ok
508,3311901,28103,0.008485,0.0921,ok
509,12441,5343,0.429467,0.0698,ok
510,1067548,5952,0.005575,0.0964,ok
511,115514,4955,0.042895,0.0375,ok
512,15380,4685,0.304616,0.027,ok
513,32700177,685477,0.020962,1.0029,ok
514,48917,6205,0.126848,0.0996,ok
515,14961,5099,0.340819,0.0638,ok
516,1451940140,13004217,0.008956,28.0461,ok
517,141433393,1531873,0.010831,3.203,ok
518,528033,9107,0.017247,0.0684,ok
519,120341,5390,0.044789,0.0938,ok
520,3313521,40584,0.012248,0.1258,ok
521,32829246,724740,0.022076,1.1098,ok
522,3346100,25068,0.007492,0.223,ok
523,,,,,timeout
524,533675,9147,0.01714,0.1935,ok
525,329320092,7070389,0.02147,7.0732,ok
526,32921047,507348,0.015411,0.8151,ok
527,1479130768,10854610,0.007339,28.6309,ok
528,3280880,50420,0.015368,0.1828,ok
529,330761964,4467379,0.013506,7.2169,ok
530,12666,5256,0.414969,0.0971,ok
531,11592,4293,0.370342,0.0815,ok
532,51364497,432429,0.008419,2.066,ok
533,50810031,632893,0.012456,2.1773,ok
534,15282110,85604,0.005602,0.4232,ok
535,1091999,8363,0.007658,0.0927,ok
536,4542076,17116,0.003768,0.2646,ok
537,49771380,291429,0.005855,1.5985,ok
538,46187,6098,0.132028,0.0652,ok
539,17181,5071,0.295152,0.0664,ok
540,149129700,930521,0.00624,2.9694,ok
541,3303995,35840,0.010847,0.208,ok
542,331901142,4282185,0.012902,7.6251,ok
543,119283,5265,0.044139,0.0686,ok
544,331007353,4111520,0.012421,7.2975,ok
545,576347,9257,0.016062,0.0752,ok
546,14801247,98171,0.006633,0.3238,ok
547,1472919969,11137273,0.007561,29.794,ok
548,18076,7417,0.410323,0.055,ok
549,14874969,116161,0.007809,0.424,ok
550,330427533,4739536,0.014344,7.7509,ok
551,15596,5576,0.357528,0.0549,ok
552,150300107,922724,0.006139,3.0393,ok
553,329971223,4704241,0.014257,7.651,ok
554,534086,7768,0.014544,0.0988,ok
555,150015435,874051,0.005826,2.9482,ok
556,1090216,7145,0.006554,0.14,ok
557,4814502,32033,0.006653,0.245,ok
558,53970599,638292,0.011827,2.0888,ok
559,10645929,18113,0.001701,0.409,ok
560,56359,5265,0.093419,0.0833,ok
561,119546,5132,0.042929,0.0404,ok
562,3309246,34299,0.010365,0.1162,ok
563,18033,7525,0.417291,0.0454,ok
564,149688942,947336,0.006329,3.2171,ok
565,117645,5488,0.046649,0.0703,ok
566,33283794,352948,0.010604,0.7684,ok
567,445864,11136,0.024976,0.2247,ok
568,4898940,32354,0.006604,0.2779,ok
569,402089,8753,0.021769,0.1324,ok
570,569476,10130,0.017788,0.0405,ok
571,48242,5854,0.121347,0.0728,ok
572,576984,12868,0.022302,0.055,ok
573,146074570,1259346,0.008621,3.2495,ok
574,15148373,66385,0.004382,0.325,ok
575,14190,4794,0.337844,0.0361,ok
576,10266,4725,0.460257,0.0486,ok
577,15460192,59617,0.003856,0.3284,ok
578,567183,8607,0.015175,0.0476,ok
579,145072967,1278829,0.008815,3.0106,ok
580,126435,5236,0.041413,0.0578,ok
581,1075508,6370,0.005923,0.1156,ok
582,438364,13247,0.030219,0.1685,ok
583,3311678,28374,0.008568,0.1547,ok
584,5379653,47283,0.008789,0.2078,ok
585,5754553,59060,0.010263,0.1997,ok
586,1487584316,11420267,0.007677,29.7895,ok
587,15232,5528,0.36292,0.052,ok
588,10098,4540,0.449594,0.0409,ok
589,10708,5072,0.473665,0.0432,ok
590,146128047,1538349,0.010527,3.2498,ok
591,12238,5253,0.429237,0.0613,ok
592,522287,7413,0.014193,0.1218,ok
593,56461,5716,0.101238,0.0689,ok
594,16443,5292,0.321839,0.067,ok
595,563915,10688,0.018953,0.2328,ok
596,11521,5445,0.472615,0.0674,ok
597,146189984,1324386,0.009059,2.8352,ok
598,53069,5351,0.100831,0.1095,ok
599,1081407,7392,0.006836,0.128,ok
600,10721,5180,0.483164,0.0509,ok
601,10219,5212,0.51003,0.0639,ok
602,10645,5234,0.491686,0.0894,ok
603,10780,5241,0.486178,0.0523,ok
604,33017831,589304,0.017848,0.7562,ok
605,54433376,570849,0.010487,1.8612,ok
606,539449,9734,0.018044,0.0772,ok
607,14070974,200176,0.014226,0.5367,ok
608,15136,5013,0.331197,0.0422,ok
609,33001971,504126,0.015276,0.835,ok
610,3278992,60887,0.018569,0.185,ok
611,3335268,38554,0.011559,0.1287,ok
612,1462138594,12155636,0.008314,29.9428,ok
613,10706523,39158,0.003657,0.4967,ok
614,52428374,661264,0.012613,1.9275,ok
615,16042,4855,0.302643,0.0491,ok
616,15787,4728,0.299487,0.0384,ok
617,10685403,54620,0.005112,0.4974,ok
618,1099985,7034,0.006395,0.0828,ok
619,15070237,73862,0.004901,0.3203,ok
620,15937,4876,0.305955,0.0595,ok
621,122018,5260,0.043108,0.0587,ok
622,19116,6568,0.343587,0.1098,ok
623,5070439,34481,0.0068,0.2014,ok
624,14855256,90182,0.006071,0.2916,ok
625,15493,4779,0.308462,0.0309,ok
626,649176,12606,0.019418,0.1024,ok
627,121848,6497,0.053321,0.06,ok
628,556863,9430,0.016934,0.0749,ok
629,48591,5885,0.121113,0.0771,ok
630,554288,9965,0.017978,0.0554,ok
631,639024,7990,0.012503,0.1294,ok
632,13280,4780,0.35994,0.06,ok
633,115352,4979,0.043164,0.0601,ok
634,15136937,77335,0.005109,0.3099,ok
635,11028,5022,0.455386,0.0313,ok
636,32912444,612114,0.018598,0.8607,ok
637,527463,6920,0.013119,0.0387,ok
638,3405829,50955,0.014961,0.0777,ok
639,14225,5020,0.3529,0.0628,ok
640,118289,4804,0.040612,0.0618,ok
